content,n_words,clean,count_clean,review_without_stopwords,count_without_stopwords
"the medical equipment should be more complete, such as a bandage for sprained feet.",14,the medical equipment should be more complete such as  bandage for sprained feet,13,medical equipment complete bandage sprained feet,6
okay,1,okay,1,okay,1
very useful and helpful,4,very useful and helpful,4,useful helpful,2
helps so much. especially in this covid19 situation. thanks for halodoc + doctors. special thanks to dr. sam margaretha.,19,helps so much especially in this covid situation thanks for halodoc doctors special thanks to dr sam margaretha,18,helps much especially covid situation thanks halodoc doctors special thanks dr sam margaretha,13
"so bad, it often stops by itself and keeps asking for updates",12,so bad it often stops by itself and keeps asking for updates,12,bad often stops keeps asking updates,6
very helpful. thank you doc.,5,very helpful thank you doc,5,helpful thank doc,3
very helpful in the process of purchasing medicine in an emergency,11,very helpful in the process of purchasing medicine in an emergency,11,helpful process purchasing medicine emergency,5
"very helpful in consultation and delivery of medicine, thank you.",10,very helpful in consultation and delivery of medicine thank you,10,helpful consultation delivery medicine thank,5
"okay, the application is very useful especially during a pandemic like this.",12,okay the application is very useful especially during  pandemic like this,11,okay application useful especially pandemic like,6
great,1,great,1,great,1
"this app helps me a lot!!! i suffered from diarrhea last time, was so weak n couldn't make it to buy meds in the middle of the night..i got my meds with no delivery fee in less than 30mins..super recommended!",40,this app helps me  lot  suffered from diarrhea last time was so weak  couldnt make it to buy meds in the middle of the nighti got my meds with no delivery fee in less than recommended,36,app helps lot suffered diarrhea last time weak couldnt make buy meds middle nighti got meds delivery fee less recommended,20
good,1,good,1,good,1
lightweight and easy to use application,6,lightweight and easy to use application,6,lightweight easy use application,4
"halodoc, you can pay using ovo dooong... do not get gopay...",11,halodoc you can pay using ovo dooong do not get gopay,11,halodoc pay using ovo dooong get gopay,7
very helpful and the doctors are always good at giving consultations.,11,very helpful and the doctors are always good at giving consultations,11,helpful doctors always good giving consultations,6
save time to go to the hospital,7,save time to go to the hospital,7,save time go hospital,4
smart medical solutions during a pandemic like this,8,smart medical solutions during  pandemic like this,7,smart medical solutions pandemic like,5
"very helpful. early in the morning there is a doctor online, willing to chat for consultation. superrr. masya allah...barakallahu fiik dr rizki rina furi.",24,very helpful early in the morning there is  doctor online willing to chat for consultation superrr masya llahu fiik dr rizki rina furi,23,helpful early morning doctor online willing chat consultation superrr masya llahu fiik dr rizki rina furi,16
easy way to get medicine,5,easy way to get medicine,5,easy way get medicine,4
"easy to use app, very helpful, thank you halodoc",9,easy to use app very helpful thank you halodoc,9,easy use app helpful thank halodoc,6
very helpful in a pandemic era like this,8,very helpful in  pandemic era like this,7,helpful pandemic era like,4
"alhamdulillah, it is quite helpful during the covid pandemic.",9,alhamdulillah it is quite helpful during the covid pandemic,9,alhamdulillah quite helpful covid pandemic,5
very helpful in facilitating consultation and ordering prescriptions. keep up the good work,13,very helpful in facilitating consultation and ordering prescriptions keep up the good work,13,helpful facilitating consultation ordering prescriptions keep good work,8
very helpful during the pandemic.. thank you halodoc and doctor andri j girsang..🙏,13,very helpful during the pandemic thank you halodoc and doctor andri  girsang,12,helpful pandemic thank halodoc doctor andri girsang,7
"really easy & simple to get my daily medicine and cheap. but.... the thing that made me mad was, the pharmacy replaced my medicine with another product and it was cheaper than the first i ordered, but they said if the medicine was the same price. after i checked, the price was cheaper than what i had paid, but the price was said to be the same. halodoc doesn't really help either. just talking and texting. no further settlement. so be careful, when ordering at halodoc, always check it again!!",90,really easy simple to get my daily medicine and cheap but the thing that made me mad was the pharmacy replaced my medicine with another product and it was cheaper than the first  ordered but they said if the medicine was the same price after  checked the price was cheaper than what  had paid but the price was said to be the same halodoc doesnt really help either just talking and texting no further settlement so be careful when ordering at halodoc always check it again,86,really easy simple get daily medicine cheap thing made mad pharmacy replaced medicine another product cheaper first ordered said medicine price checked price cheaper paid price said halodoc doesnt really help either talking texting settlement careful ordering halodoc always check,40
"the doctor is very kind, and gave the right medicine. thank you halodoc❤😊",13,the doctor is very kind and gave the right medicine thank you halodoc,13,doctor kind gave right medicine thank halodoc,7
excellent,1,excellent,1,excellent,1
very helpfull to have on line consultation prior visiting doctor,10,very helpfull to have on line consultation prior visiting doctor,10,helpfull line consultation prior visiting doctor,6
"just buy prescription nausea medicine, what do you think?",9,just buy prescription nausea medicine what do you think,9,buy prescription nausea medicine think,5
do help,2,do help,2,help,1
good apps...very helpful in emergency,5,good helpful in emergency,4,good helpful emergency,3
quite helpful,2,quite helpful,2,quite helpful,2
fast and practical!,3,fast and practical,3,fast practical,2
very helpful,2,very helpful,2,helpful,1
okay,1,okay,1,okay,1
"i bought a rapid test for 3 people at denpasar hospital. it said ""drive thru"". on the day of arrival, there was no drive thru, and the hospital did not have social distancing at all. i canceled, but it turned out there was no automatic refund and there was no information on when the refund deadline would be. when i made a refund, it was informed that it had been more than 7 days so it could not be refunded. my input - please make the description of ""drive thru"" appropriate so as not to disappoint people on the day - make the information on how to refund clear",109, bought  rapid test for people at denpasar hospital it said drive thru on the day of arrival there was no drive thru and the hospital did not have social distancing at all  canceled but it turned out there was no automatic refund and there was no information on when the refund deadline would be when  made  refund it was informed that it had been more than days so it could not be refunded my input please make the description of drive thru appropriate so as not to disappoint people on the day make the information on how to refund clear,100,bought rapid test people denpasar hospital said drive thru day arrival drive thru hospital social distancing canceled turned automatic refund information refund deadline made refund informed days could refunded input please make description drive thru appropriate disappoint people day make information refund clear,43
it's nice to be able to connect to office insurance 👍,11,its nice to be able to connect to office insurance,10,nice able connect office insurance,5
quite satisfied with this short consultation. suggestions from will be followed if necessary for further consultation.,16,quite satisfied with this short consultation suggestions from will be followed if necessary for further consultation,16,quite satisfied short consultation suggestions followed necessary consultation,8
"halodoc application is very helpful for me as a user. such as about consultation with a doctor, medicine, symptoms of disease, etc.",22,halodoc application is very helpful for me as  user such as about consultation with  doctor medicine symptoms of disease etc,20,halodoc application helpful user consultation doctor medicine symptoms disease etc,10
"helping, without having to leave the house",7,helping without having to leave the house,7,helping without leave house,4
very helpful when i'm sick alone,6,very helpful when im sick alone,6,helpful im sick alone,4
practical and very helpful. cool!,5,practical and very helpful cool,5,practical helpful cool,3
very helpful,2,very helpful,2,helpful,1
good morning,2,good morning,2,good morning,2
"halodoc is really very helpful. when i was sick, there was no one to take me to the nearest clinic, the doctor chat feature was very helpful. not to mention the service of buying medicine that was delivered directly to my location. thank you, halodoc!",45,halodoc is really very helpful when  was sick there was no one to take me to the nearest clinic the doctor chat feature was very helpful not to mention the service of buying medicine that was delivered directly to my location thank you halodoc,44,halodoc really helpful sick one take nearest clinic doctor chat feature helpful mention service buying medicine delivered directly location thank halodoc,21
very helpful during covid & holidays,6,very helpful during covid holidays,5,helpful covid holidays,3
the application helps to buy medicine or talk to a doctor but the delivery fee is quite expensive compared to other online applications.,23,the application helps to buy medicine or talk to  doctor but the delivery fee is quite expensive compared to other online applications,22,application helps buy medicine talk doctor delivery fee quite expensive compared online applications,13
"it's getting easier and simpler to consult, the doctors are also friendly and have good credibility. great for halodoc",19,its getting easier and simpler to consult the doctors are also friendly and have good credibility great for halodoc,19,getting easier simpler consult doctors also friendly good credibility great halodoc,11
"it's really good to use this app if you want to buy medicine, unfortunately the shipping is really expensive, i suggest you increase the free shipping vouchers😇🙏🏼",27,its really good to use this app if you want to buy medicine unfortunately the shipping is really expensive  suggest you increase the free shipping vouchers,26,really good use app want buy medicine unfortunately shipping really expensive suggest increase free shipping vouchers,16
"great, it really helps me",5,great it really helps me,5,great really helps,3
helpful. especially in this pandemic situation. thanks,7,helpful especially in this pandemic situation thanks,7,helpful especially pandemic situation thanks,5
only half an hour later it disconnected automatically and said it had been 1 hour,15,only half an hour later it disconnected automatically and said it had been hour,14,half hour later disconnected automatically said hour,7
very helpful,2,very helpful,2,helpful,1
so helpful 😭 really a lifesaver when it's urgent,9,so helpful really  lifesaver when its urgent,7,helpful really lifesaver urgent,4
just take a picture of the prescription and order. love it! so simple.,13,just take  picture of the prescription and order love it so simple,12,take picture prescription order love simple,6
"after i placed an order and got a driver, it turned out that the driver said that the pharmacy did not receive the order that i sent via halodoc. i reordered again and the same thing happened again. i contacted cs and they said to log out first. after reordering for the third time and the new driver said that the stock of the medicine was out. stock updates should always be carried out! and the money that i had paid did not automatically come in. it was declared successful. after requesting a refund, i had to wait up to 5 days.",102,after  placed an order and got  driver it turned out that the driver said that the pharmacy did not receive the order that  sent via halodoc  reordered again and the same thing happened again  contacted cs and they said to log out first after reordering for the third time and the new driver said that the stock of the medicine was out stock updates should always be carried out and the money that  had paid did not automatically come in it was declared successful after requesting  refund  had to wait up to days,93,placed order got driver turned driver said pharmacy receive order sent via halodoc reordered thing happened contacted cs said log first reordering third time new driver said stock medicine stock updates always carried money paid automatically come declared successful requesting refund wait days,43
"thank you to the doctor, you can consult online, to the pharmacy and gojek drivers who deliver the medicine, the medicine is hard to find, look for it with halodoc",30,thank you to the doctor you can consult online to the pharmacy and gojek drivers who deliver the medicine the medicine is hard to find look for it with halodoc,30,thank doctor consult online pharmacy gojek drivers deliver medicine medicine hard find look halodoc,14
good app,2,good app,2,good app,2
"thank god, it really helps",5,thank god it really helps,5,thank god really helps,4
various features about health are very good,7,various features about health are very good,7,various features health good,4
,0,,0,,0
a very useful application in times of emergency. the doctors are also friendly and professional. prescriptions can be purchased directly because they are integrated with the gosend service. the price of the medicine is also cheap because the application searches for drug stores with the cheapest prices around our location.,50, very useful application in times of emergency the doctors are also friendly and professional prescriptions can be purchased directly because they are integrated with the gosend service the price of the medicine is also cheap because the application searches for drug stores with the cheapest prices around our location,49,useful application times emergency doctors also friendly professional prescriptions purchased directly integrated gosend service price medicine also cheap application searches drug stores cheapest prices around location,26
buying medicine is really easy... it really helps a lot,10,buying medicine is really easy it really helps  lot,9,buying medicine really easy really helps lot,7
"the application is very helpful. buying medicine, the delivery is also very fast.",13,the application is very helpful buying medicine the delivery is also very fast,13,application helpful buying medicine delivery also fast,7
very useful and recommended,4,very useful and recommended,4,useful recommended,2
can't use it. it's ridiculous.,5,cant use it its ridiculous,5,cant use ridiculous,3
"in terms of needs, this is very helpful for consultations, but if the duration of the chat consultation with the doctor could be given to the patient, it would be much better. it would be better if the chat consultation costs 100 thousand and above, the consultation duration is not limited, considering that the way we consult requires time to type and take pictures and the doctor's reply is not necessarily fast. please improve the photo and document attachments because they still crash often. if you add a vid/vn attachment, it will make consultations even easier.",96,in terms of needs this is very helpful for consultations but if the duration of the chat consultation with the doctor could be given to the patient it would be much better it would be better if the chat consultation costs thousand and above the consultation duration is not limited considering that the way we consult requires time to type and take pictures and the doctors reply is not necessarily fast please improve the photo and document attachments because they still crash often if you add  vidvn attachment it will make consultations even easier,94,terms needs helpful consultations duration chat consultation doctor could given patient much better better chat consultation costs thousand consultation duration limited considering way consult requires time type take pictures doctors reply necessarily fast please improve photo document attachments crash often add vidvn attachment make consultations even easier,47
very helpful,2,very helpful,2,helpful,1
"so far so good, it's just that sometimes the pharmacy is too far away so i feel sorry for the driver who delivers it 😣 i ordered it in the pasar kemis area but the pharmacy i got it from was in kelapa dua, i feel sorry for the driver who is so far away 😩",56,so far so good its just that sometimes the pharmacy is too far away so  feel sorry for the driver who delivers it  ordered it in the pasar kemis area but the pharmacy  got it from was in kelapa dua  feel sorry for the driver who is so far away,50,far good sometimes pharmacy far away feel sorry driver delivers ordered pasar kemis area pharmacy got kelapa dua feel sorry driver far away,23
good,1,good,1,good,1
helpful,1,helpful,1,helpful,1
"very unprofessional and unprofessional only wants patients' money but does not fulfill their obligation to deliver test results on time. i am a pcr test user with h+1 results, the results should have come out yesterday at 23.59 at the latest, but until now this morning the results have not come out even though they are needed for the flight. it is truly embarrassing as an official government partner!!!",69,very unprofessional and unprofessional only wants patients money but does not fulfill their obligation to deliver test results on time  am  pcr test user with  results the results should have come out yesterday at at the latest but until now this morning the results have not come out even though they are needed for the flight it is truly embarrassing as an official government partner,65,unprofessional unprofessional wants patients money fulfill obligation deliver test results time pcr test user results results come yesterday latest morning results come even though needed flight truly embarrassing official government partner,31
very helpful,2,very helpful,2,helpful,1
very helpful,2,very helpful,2,helpful,1
helpful and efficient.,3,helpful and efficient,3,helpful efficient,2
very helpful app..😍,3,very helpful app,3,helpful app,2
make it easier for patients,5,make it easier for patients,5,make easier patients,3
good,1,good,1,good,1
the doctor's response was fast and friendly. the medicine arrived quickly.,11,the doctors response was fast and friendly the medicine arrived quickly,11,doctors response fast friendly medicine arrived quickly,7
nice app,2,nice app,2,nice app,2
"i like this apk, the information according to the tutorial is valid. i like it, it's not expensive for a public dock, hehe",23, like this apk the information according to the tutorial is valid  like it its not expensive for  public dock hehe,20,like apk information according tutorial valid like expensive public dock hehe,11
easy to use..fast response,4,easy to response,3,easy response,2
it helps me a lot! thanks hellodoc.,7,it helps me  lot thanks hellodoc,6,helps lot thanks hellodoc,4
"this really helped me. the doctors are friendly. continued success, halodoc.",11,this really helped me the doctors are friendly continued success halodoc,11,really helped doctors friendly continued success halodoc,7
error.. i can't log in. i've updated but it still doesn't work.,12,error  cant log in ive updated but it still doesnt work,11,error cant log ive updated doesnt work,7
"doctors are less experienced, useless",5,doctors are less experienced useless,5,doctors less experienced useless,4
"it really helps me who is far from a pharmacy, just order holdoc",13,it really helps me who is far from  pharmacy just order holdoc,12,really helps far pharmacy order holdoc,6
"fast, precise and useful",4,fast precise and useful,4,fast precise useful,3
"the customer service can't do anything, the medicine never gets complete, the application sucks",14,the customer service cant do anything the medicine never gets complete the application sucks,14,customer service cant anything medicine never gets complete application sucks,10
very helpful,2,very helpful,2,helpful,1
unable to book covid test. always error. please fix it soon.,11,unable to book covid test always error please fix it soon,11,unable book covid test always error please fix soon,9
very useful application.. cool 👍,5,very useful application cool,4,useful application cool,3
good,1,good,1,good,1
"very helpful, the only suggestion is if there could be a chat feature with the driver who delivers the medicine. the rest is ok, very helpful. thanks",27,very helpful the only suggestion is if there could be  chat feature with the driver who delivers the medicine the rest is ok very helpful thanks,26,helpful suggestion could chat feature driver delivers medicine rest ok helpful thanks,12
really helpful app!,3,really helpful app,3,really helpful app,3
very helpful during this pandemic... so you don't need to go to the hospital often 🙏🙏🙏,16,very helpful during this pandemic so you dont need to go to the hospital often,15,helpful pandemic dont go hospital often,6
good,1,good,1,good,1
okay,1,okay,1,okay,1
very helpful to us,4,very helpful to us,4,helpful us,2
the doctor is rude.. 😑,5,the doctor is rude,4,doctor rude,2
"sorry i gave one star. i want to consult a chat with a doctor, i have paid via gopay. my balance has been withdrawn but i still can't chat with the doctor. this is called dzolim. cheating.",37,sorry  gave one star  want to consult  chat with  doctor  have paid via gopay my balance has been withdrawn but  still cant chat with the doctor this is called dzolim cheating,31,sorry gave one star want consult chat doctor paid via gopay balance withdrawn cant chat doctor called dzolim cheating,19
very detailed and very considerate with lots of questions and lab data.,12,very detailed and very considerate with lots of questions and lab data,12,detailed considerate lots questions lab data,6
"very disappointing, purchase of goods was canceled because there was no stock. the refund process to gopay has not been returned without any clarity, only promised within 5 days and has not been returned, what a very disappointing experience!",39,very disappointing purchase of goods was canceled because there was no stock the refund process to gopay has not been returned without any clarity only promised within days and has not been returned what  very disappointing experience,37,disappointing purchase goods canceled stock refund process gopay returned without clarity promised within days returned disappointing experience,17
"why are there no more doctor reviews and stars now? can't see the best doctor. i got a doctor who just said yes, i'll prescribe the medicine without saying anything. i'm really disappointed with the apps now. want to consult, but they just give a prescription directly. do you want to protect the doctor or the patient? it feels like this is just random.",64,why are there no more doctor reviews and stars now cant see the best doctor  got  doctor who just said yes ill prescribe the medicine without saying anything im really disappointed with the apps now want to consult but they just give  prescription directly do you want to protect the doctor or the patient it feels like this is just random,61,doctor reviews stars cant see best doctor got doctor said yes ill prescribe medicine without saying anything im really disappointed apps want consult give prescription directly want protect doctor patient feels like random,33
very helpful app 👍 the doctor is very responsive. thank you,11,very helpful app the doctor is very responsive thank you,10,helpful app doctor responsive thank,5
the doctor's explanation can be understood and comprehended,8,the doctors explanation can be understood and comprehended,8,doctors explanation understood comprehended,4
good,1,good,1,good,1
awesome,1,awesome,1,awesome,1
very very helpful. the doctor's response is fast and free. fast delivery and the shipping is also free.,18,very very helpful the doctors response is fast and free fast delivery and the shipping is also free,18,helpful doctors response fast free fast delivery shipping also free,10
very helpful,2,very helpful,2,helpful,1
okay,1,okay,1,okay,1
very helpful,2,very helpful,2,helpful,1
help me who just can't be bothered to go out to buy medicine. because i just had a stomachache.,19,help me who just cant be bothered to go out to buy medicine because  just had  stomachache,17,help cant bothered go buy medicine stomachache,7
dr. nicodemus.. thank you.. ❤ ❤,6,dr nicodemus thank you,4,dr nicodemus thank,3
good,1,good,1,good,1
very helpful,2,very helpful,2,helpful,1
"made a doctor's appointment, but it wasn't confirmed. i want to cancel it but still can't, so the money is stuck in the application",24,made  doctors appointment but it wasnt confirmed  want to cancel it but still cant so the money is stuck in the application,22,made doctors appointment wasnt confirmed want cancel cant money stuck application,11
"during a pandemic like this, i feel veryyyy easier with halodoc.. no need to bother taking my children to the hospital.. the doctors are also responsive.. there are also medicines that can be delivered to your home.. there are reminders to take medicine too. cool... my suggestion to consider, maybe halodoc can make a list of pharmacies around the user's location.. so users can choose their pharmacy and the medicines at that pharmacy.. thank you",75,during  pandemic like this  feel veryyyy easier with halodoc no need to bother taking my children to the hospital the doctors are also responsive there are also medicines that can be delivered to your home there are reminders to take medicine too cool my suggestion to consider maybe halodoc can make  list of pharmacies around the users location so users can choose their pharmacy and the medicines at that pharmacy thank you,72,pandemic like feel veryyyy easier halodoc bother taking children hospital doctors also responsive also medicines delivered home reminders take medicine cool suggestion consider maybe halodoc make list pharmacies around users location users choose pharmacy medicines pharmacy thank,37
good service,2,good service,2,good service,2
"responsive, communicative",2,responsive communicative,2,responsive communicative,2
"very easy to use and very helpful, nice app",9,very easy to use and very helpful nice app,9,easy use helpful nice app,5
very helpful,2,very helpful,2,helpful,1
beneficial for me!😎,3,beneficial for me,3,beneficial,1
"this application is unclear, the medicine has not been sent for almost 1 month, when complained, the medicine was canceled by them. i do not recommend this application.",28,this application is unclear the medicine has not been sent for almost month when complained the medicine was canceled by them  do not recommend this application,26,application unclear medicine sent almost month complained medicine canceled recommend application,11
"very helpful, the doctor is friendly and efficient, very good app,",11,very helpful the doctor is friendly and efficient very good app,11,helpful doctor friendly efficient good app,6
"makes it easy to buy medicines that are not always available at the same pharmacy. halodoc makes it easy to search and order. plus, all medical matters are quite complete from consultation to treatment.",34,makes it easy to buy medicines that are not always available at the same pharmacy halodoc makes it easy to search and order plus all medical matters are quite complete from consultation to treatment,34,makes easy buy medicines always available pharmacy halodoc makes easy search order plus medical matters quite complete consultation treatment,19
very useful application and the doctors are very friendly and helpful. thanks...🙏,12,very useful application and the doctors are very friendly and helpful thanks,12,useful application doctors friendly helpful thanks,6
the doctor is very friendly,5,the doctor is very friendly,5,doctor friendly,2
very good application,3,very good application,3,good application,2
"thank you, this app is really very helpful. with very friendly doctors and providing the right solutions.",17,thank you this app is really very helpful with very friendly doctors and providing the right solutions,17,thank app really helpful friendly doctors providing right solutions,9
love it,2,love it,2,love,1
fast response,2,fast response,2,fast response,2
"[if u hate this app pls support 1 star review] very disappointed app. install this app because their vaccine program for elders. register for my parent 1 month ago then they canceled the program a few hours before the schedule without any reschedule, and their customer service not responsible, not care whether from email or any social media. just uninstall this apps but then forgot to leave this comment. bye!",70,if  hate this app pls support star review very disappointed app install this app because their vaccine program for elders register for my parent month ago then they canceled the program  few hours before the schedule without any reschedule and their customer service not responsible not care whether from email or any social media just uninstall this apps but then forgot to leave this comment bye,66,hate app pls support star review disappointed app install app vaccine program elders register parent month ago canceled program hours schedule without reschedule customer service responsible care whether email social media uninstall apps forgot leave comment bye,37
"very helpful app for health consultation, awesome!:*",7,very helpful app for health consultation awesome,7,helpful app health consultation awesome,5
very useful,2,very useful,2,useful,1
helps me a lot. thanks,5,helps me  lot thanks,4,helps lot thanks,3
good for communication and purchasing of medicines.,7,good for communication and purchasing of medicines,7,good communication purchasing medicines,4
best apps. very helpful.,4,best apps very helpful,4,best apps helpful,3
helping during the pandemic,4,helping during the pandemic,4,helping pandemic,2
"2 stars first, usually good, now since the update the apps are buggy, often lag badly like making it hang, even though other heavier apps run smoothly. maybe in the dev it looks, my phone is snapdragon 845 ram 6gb, so i'm sure the fault is not from my phone or connection, i read the comments not only me, overall the service is good, outside of the apps, edit again: clear cache 3x, uninstall 2x, still the same, and it happens not only on my phone, my friend's too, so please update the app",94,stars first usually good now since the update the apps are buggy often lag badly like making it hang even though other heavier apps run smoothly maybe in the dev it looks my phone is snapdragon ram gb so im sure the fault is not from my phone or connection  read the comments not only me overall the service is good outside of the apps edit again clear cache  uninstall  still the same and it happens not only on my phone my friends too so please update the app,89,stars first usually good since update apps buggy often lag badly like making hang even though heavier apps run smoothly maybe dev looks phone snapdragon ram gb im sure fault phone connection read comments overall service good outside apps edit clear cache uninstall happens phone friends please update app,49
,0,,0,,0
good,1,good,1,good,1
"the application is buggy, i made a payment and suddenly it goes back to the main menu.",17,the application is buggy  made  payment and suddenly it goes back to the main menu,15,application buggy made payment suddenly goes back main menu,9
why can't i pay using halodoc wallet to order? i lost money because i already topped up 150 thousand but i can't use it. please fix it.,27,why cant  pay using halodoc wallet to order  lost money because  already topped up thousand but  cant use it please fix it,22,cant pay using halodoc wallet order lost money already topped thousand cant use please fix,15
help,1,help,1,help,1
"this app was really helpful, even in the early morning, alhamdulillah i was able to get med faster than i tought, thanks",22,this app was really helpful even in the early morning alhamdulillah  was able to get med faster than  tought thanks,20,app really helpful even early morning alhamdulillah able get med faster tought thanks,13
nice,1,nice,1,nice,1
"practical, fast, very helpful..",4,practical fast very helpful,4,practical fast helpful,3
very helpful🥰🙏🏼,2,very helpful,2,helpful,1
very helpful,2,very helpful,2,helpful,1
really love halodoc. very useful apps ❤,7,really love halodoc very useful apps,6,really love halodoc useful apps,5
very helpful,2,very helpful,2,helpful,1
helpful,1,helpful,1,helpful,1
very fast response,3,very fast response,3,fast response,2
good apps.. maybe need to establish cooperation with many pharmacies or the application can recommend closer pharmacies,17,good apps maybe need to establish cooperation with many pharmacies or the application can recommend closer pharmacies,17,good apps maybe establish cooperation many pharmacies application recommend closer pharmacies,11
nice app,2,nice app,2,nice app,2
"pay for a consultation to get a prescription, then when i want to order, the medicine is no longer available until the prescription has expired. please fix this!",28,pay for  consultation to get  prescription then when  want to order the medicine is no longer available until the prescription has expired please fix this,25,pay consultation get prescription want order medicine longer available prescription expired please fix,13
"it is very helpful for simply buying medicine and online consultations, the private sector is always better than the government when it comes to making innovations.",26,it is very helpful for simply buying medicine and online consultations the private sector is always better than the government when it comes to making innovations,26,helpful simply buying medicine online consultations private sector always better government comes making innovations,14
the response was very fast and extraordinary and the doctor was very friendly.,13,the response was very fast and extraordinary and the doctor was very friendly,13,response fast extraordinary doctor friendly,5
"great service, i hope the creator of this application lives a good life and the doctors are always happy.",19,great service  hope the creator of this application lives  good life and the doctors are always happy,17,great service hope creator application lives good life doctors always happy,11
i haven't gotten the medicine for 24.... the order keeps getting cancelled. customer service said they would help in 20 minutes and answered 3 hours later. even though it's just a medicine for ear infections. disappointing . it wasn't like this before.,42, havent gotten the medicine for the order keeps getting cancelled customer service said they would help in minutes and answered hours later even though its just  medicine for ear infections disappointing it wasnt like this before,36,havent gotten medicine order keeps getting cancelled customer service said help minutes answered hours later even though medicine ear infections disappointing wasnt like,23
the doctors are very humble,5,the doctors are very humble,5,doctors humble,2
great one stop health & medical solutions,7,great one stop health medical solutions,6,great one stop health medical solutions,6
"fast delivery using gojek, the system is better, the doctor's response is very fast 👍",15,fast delivery using gojek the system is better the doctors response is very fast,14,fast delivery using gojek system better doctors response fast,9
informative,1,informative,1,informative,1
highly recommend and always have a solution,7,highly recommend and always have  solution,6,highly recommend always solution,4
satisfying...,1,satisfying,1,satisfying,1
"very helpful, very useful, good job!",6,very helpful very useful good job,6,helpful useful good job,4
very responsive,2,very responsive,2,responsive,1
"very helpful, so we don't have to spend a long time searching for the ignorance that we are experiencing. we can directly ask the expert. and immediately given a prescription and delivered. hopefully the doctors are blessed to be willing to handle online patients for free/paid. also the couriers who have delivered the medicine for free. hopefully halodoc will be more successful and develop to help serve the people of indonesia ❤️",72,very helpful so we dont have to spend  long time searching for the ignorance that we are experiencing we can directly ask the expert and immediately given  prescription and delivered hopefully the doctors are blessed to be willing to handle online patients for freepaid also the couriers who have delivered the medicine for free hopefully halodoc will be more successful and develop to help serve the people of indonesia,69,helpful dont spend long time searching ignorance experiencing directly ask expert immediately given prescription delivered hopefully doctors blessed willing handle online patients freepaid also couriers delivered medicine free hopefully halodoc successful develop help serve people indonesia,36
very helpful,2,very helpful,2,helpful,1
good app,2,good app,2,good app,2
it's nice to be able to consult with a doctor,10,its nice to be able to consult with  doctor,9,nice able consult doctor,4
beneficial,1,beneficial,1,beneficial,1
good,1,good,1,good,1
practical,1,practical,1,practical,1
"it is very helpful, especially for sick people who cannot leave the house.",13,it is very helpful especially for sick people who cannot leave the house,13,helpful especially sick people cannot leave house,7
easy and responsive,3,easy and responsive,3,easy responsive,2
"very helpful, friendly price",4,very helpful friendly price,4,helpful friendly price,3
"the application is very good and helpful, but every time i pay via gojek the password can't be entered.",19,the application is very good and helpful but every time  pay via gojek the password cant be entered,18,application good helpful every time pay via gojek password cant entered,11
fast doctor response and easy to get drug prescriptions,9,fast doctor response and easy to get drug prescriptions,9,fast doctor response easy get drug prescriptions,7
quick response,2,quick response,2,quick response,2
good,1,good,1,good,1
great help,2,great help,2,great help,2
"so far good, and the application helps",7,so far good and the application helps,7,far good application helps,4
good,1,good,1,good,1
very helpful application for me,5,very helpful application for me,5,helpful application,2
great,1,great,1,great,1
good enough helpful,3,good enough helpful,3,good enough helpful,3
good,1,good,1,good,1
very helpful,2,very helpful,2,helpful,1
"very helpful, can refer pharmacies that provide the items needed at the best price. delivery service is also involved the best, anytime.",22,very helpful can refer pharmacies that provide the items needed at the best price delivery service is also involved the best anytime,22,helpful refer pharmacies provide items needed best price delivery service also involved best anytime,14
cool,1,cool,1,cool,1
"thank you very much, cooperate more with pharmacies in the area, so that it is not too far. poor gojek driver",21,thank you very much cooperate more with pharmacies in the area so that it is not too far poor gojek driver,21,thank much cooperate pharmacies area far poor gojek driver,9
"help more in this pandemic,",5,help more in this pandemic,5,help pandemic,2
"halodoc has really helped me. i have consulted online with their doctors several times. even when my animal is sick, i consult via halodoc.",24,halodoc has really helped me  have consulted online with their doctors several times even when my animal is sick  consult via halodoc,22,halodoc really helped consulted online doctors several times even animal sick consult via halodoc,14
very fast response!,3,very fast response,3,fast response,2
the doctor provides very clear information and also advice that helps the patient's healing process.,15,the doctor provides very clear information and also advice that helps the patients healing process,15,doctor provides clear information also advice helps patients healing process,10
"thank you very much for making the halodoc application it is very useful. once again, thank you💖",17,thank you very much for making the halodoc application it is very useful once again thank you,17,thank much making halodoc application useful thank,7
"good explanations from medical team, doctor",6,good explanations from medical team doctor,6,good explanations medical team doctor,5
finding difficult to chat with the doctors,7,finding difficult to chat with the doctors,7,finding difficult chat doctors,4
good,1,good,1,good,1
i love this app. it helps me a lot. thank you halodoc,12, love this app it helps me  lot thank you halodoc,10,love app helps lot thank halodoc,6
on time and as ordered...👍👍,5,on time and as ordered,5,time ordered,2
"thank you doctor welli hamik.spa🙏, whose response was very fast and friendly👍 once again thank you, doctor🙏",17,thank you doctor welli whose response was very fast and friendly once again thank you doctor,16,thank doctor welli whose response fast friendly thank doctor,9
good job,2,good job,2,good job,2
tul,1,tul,1,tul,1
this pandemic really provides a quick solution...,7,this pandemic really provides  quick solution,6,pandemic really provides quick solution,5
